No;Link Matkul;Name;Kode Matkul;Kategori Matkul
1049;https://sikola.unhas.ac.id/courses/105E4103/index.php;SISTEM EKONOMI INDONESIA;105E4103;69201
1059;https://sikola.unhas.ac.id/courses/105K1712/index.php;LOGIKA;105K1712;13201
1060;https://sikola.unhas.ac.id/courses/105K2022/index.php;ILMU GIZI DASAR;105K2022;13211
1062;https://sikola.unhas.ac.id/courses/105O1123/index.php;BIOKIMIA VETERINER;105O1123;54261
1065;https://sikola.unhas.ac.id/courses/106B2123/index.php;HUKUM KONSTITUSI;106B2123;74235
1067;https://sikola.unhas.ac.id/courses/106C1323/index.php;DASAR NEUROLOGI FISIOTERAPI/NEURO SAINS;106C1323;11202
1069;https://sikola.unhas.ac.id/courses/106D1222/index.php;MATEMATIKA REKAYASA LINGKUNGAN;106D1222;25201
1072;https://sikola.unhas.ac.id/courses/106D3223/index.php;MEKANIKA FLUIDA;106D3223;38201
1073;https://sikola.unhas.ac.id/courses/106D4122/index.php;SISTEM DIGITAL;106D4122;20201
1078;https://sikola.unhas.ac.id/courses/106E1203/index.php;EKONOMI PEMERINTAHAN;106E1203;65201
1082;https://sikola.unhas.ac.id/courses/106F4112/index.php;FONOLOGI BAHASA ARAB;106F4112;79203
1083;https://sikola.unhas.ac.id/courses/106F4122/index.php;MORFOLOGI BAHASA ARAB;106F4122;79203
1088;https://sikola.unhas.ac.id/courses/106I1102/index.php;GENETIKA PETERNAKAN;106I1102;54231
1089;https://sikola.unhas.ac.id/courses/106K1712/index.php;ANTROPOLOGI DAN SOSIOLOGI KESEHATAN;106K1712;13201
1090;https://sikola.unhas.ac.id/courses/106K2022/index.php;ILMU PENDIDIKAN GIZI;106K2022;13211
1095;https://sikola.unhas.ac.id/courses/107C1324/index.php;DASAR MUSKULOSKELETAL FISIOTERAPI/ANATOMI I;107C1324;11202
1097;https://sikola.unhas.ac.id/courses/107D4122/index.php;PEMROGRAMAN KOMPUTER;107D4122;20201
1103;https://sikola.unhas.ac.id/courses/107F3122/index.php;COMPREHENSION ORALE ET ECRITE 2;107F3122;79205
1104;https://sikola.unhas.ac.id/courses/107F5112/index.php;FONOLOGI BAHASA BUGIS - MAKASSAR;107F5112;79211
1105;https://sikola.unhas.ac.id/courses/107F6103/index.php;KONSERVASI ARKEOLOGI;107F6103;81201
1108;https://sikola.unhas.ac.id/courses/107K1012/index.php;DASAR ILMU KESEHATAN MASYARAKAT;107K1012;13201
1109;https://sikola.unhas.ac.id/courses/107K2022/index.php;EKONOMI PANGAN DAN GIZI;107K2022;13211
1113;https://sikola.unhas.ac.id/courses/108C1324/index.php;DASAR BIOMEKANIK;108C1324;11202
1118;https://sikola.unhas.ac.id/courses/108F3122/index.php;TATA BAHASA PRANCIS 2 (108F3122);108F3122;79205
1119;https://sikola.unhas.ac.id/courses/108F4122/index.php;LEKSIKOGRAFI BAHASA ARAB;108F4122;79203
1124;https://sikola.unhas.ac.id/courses/108K2023/index.php;BIOKIMIA;108K2023;13211
1133;https://sikola.unhas.ac.id/courses/109F3122/index.php;KOSA KATA PRANCIS 2;109F3122;79205
1134;https://sikola.unhas.ac.id/courses/109F4102/index.php;SARF I;109F4102;79203
1135;https://sikola.unhas.ac.id/courses/109F4122/index.php;TAHQIQ AN-NUSUS;109F4122;79203
1137;https://sikola.unhas.ac.id/courses/109K2022/index.php;EKOLOGI PANGAN DAN GIZI;109K2022;13211
1138;https://sikola.unhas.ac.id/courses/109M1123/index.php;STATISTIKA;109M1123;54251
1147;https://sikola.unhas.ac.id/courses/110C1323/index.php;BAHASA INGGRIS LANJUTAN;110C1323;11202
1149;https://sikola.unhas.ac.id/courses/110D5224/index.php;KARTOGRAFI DAN PENGINDRAAN JAUH;110D5224;35201
1151;https://sikola.unhas.ac.id/courses/110F4124/index.php;KEMAHIRAN BAHASA ARAB II;110F4124;79203
1157;https://sikola.unhas.ac.id/courses/111C1322/index.php;SOSIOLOGI KESEHATAN;111C1322;11202
1160;https://sikola.unhas.ac.id/courses/111K2023/index.php;ANATOMI DAN FISIOLOGI;111K2023;13211
1173;https://sikola.unhas.ac.id/courses/113K2022/index.php;MANAGEMENT DATA GIZI;113K2022;13211
1181;https://sikola.unhas.ac.id/courses/118F09120202/index.php;MENYIMAK DAN BERCAKAP BAHASA MANDARIN MENENGAH 1;118F09120202;79214
1191;https://sikola.unhas.ac.id/courses/121L2122/index.php;DASAR-DASAR PENGELOLAAN PERIKANAN;121L2122;54242
1193;https://sikola.unhas.ac.id/courses/121L2322/index.php;DASAR-DASAR PENANGKAPAN IKAN;121L2322;54246
1198;https://sikola.unhas.ac.id/courses/122G5303/index.php;KIMIA ANALITIK;122G5303;41231
1200;https://sikola.unhas.ac.id/courses/122L1123/index.php;DASAR-DASAR KOMPUTASI (19L01110603);122L1123;54241
1207;https://sikola.unhas.ac.id/courses/123G3203/index.php;DASAR-DASAR AGRIBISNIS;123G3203;54201
1208;https://sikola.unhas.ac.id/courses/123G5303/index.php;KIMIA ORGANIK;123G5303;41231
1211;https://sikola.unhas.ac.id/courses/123MMUH/index.php;BUSINESS AND MANAGEMENT;123MMUH;79101
1212;https://sikola.unhas.ac.id/courses/124G1103/index.php;DASAR-DASAR AGRONOMI;124G1103;54211
1217;https://sikola.unhas.ac.id/courses/125G0103/index.php;AGROKLIMATOLOGI;125G0103;54211
1220;https://sikola.unhas.ac.id/courses/126G0103/index.php;WAWASAN ILMU PERTANIAN;126G0103;54211
1224;https://sikola.unhas.ac.id/courses/13071964/index.php;PENILAIAN STATUS GIZI;13071964;13211
1226;https://sikola.unhas.ac.id/courses/131J1125/index.php;ILMU KEDOKTERAN GIGI DASAR I;131J1125;12201
1227;https://sikola.unhas.ac.id/courses/131N1123/index.php;MIKROBIOLOGI DAN VIROLOGI;131N1123;48201
1228;https://sikola.unhas.ac.id/courses/132J1125/index.php;ILMU KEDOKTERAN GIGI DASAR II;132J1125;12201
1229;https://sikola.unhas.ac.id/courses/132N1123/index.php;KIMIA ANALISIS;132N1123;48201
1232;https://sikola.unhas.ac.id/courses/133N1123/index.php;FARMAKOGNOSI;133N1123;48201
1233;https://sikola.unhas.ac.id/courses/134J1124/index.php;ILMU KEDOKTERAN GIGI KLINIK;134J1124;12201
1234;https://sikola.unhas.ac.id/courses/134N1123/index.php;FARMASI FISIKA;134N1123;48201
1240;https://sikola.unhas.ac.id/courses/135N1122/index.php;PATOFISIOLOGI (20N01111702) (schedule hapus);135N1122;48201
1250;https://sikola.unhas.ac.id/courses/138K1022/index.php;DASAR ILMU GIZI KESEHATAN MASYARAKAT;138K1022;13201
1251;https://sikola.unhas.ac.id/courses/139C1314/index.php;MANAJEMEN FT. PROFESI KOMP. MUSKULOS./BEDAH;139C1314;11902
1252;https://sikola.unhas.ac.id/courses/139K1122/index.php;DASAR EKONOMI KESEHATAN;139K1122;13201
1257;https://sikola.unhas.ac.id/courses/140K1222/index.php;BIOSTATISTIK DESKRIPTIF;140K1222;13201
1258;https://sikola.unhas.ac.id/courses/141C1313/index.php;MANAJEMEN FT. PROFESI KOMP. KARDIOVASKULOPUL;141C1313;11902
1259;https://sikola.unhas.ac.id/courses/141G1133/index.php;DASAR-DASAR AGRONOMI;141G1133;54211
1261;https://sikola.unhas.ac.id/courses/141K1222/index.php;DASAR KEPENDUDUKAN DAN KB;141K1222;13201
1263;https://sikola.unhas.ac.id/courses/142K1322/index.php;DASAR EPIDEMIOLOGI;142K1322;13201
1265;https://sikola.unhas.ac.id/courses/144C1313/index.php;"MANAJEMEN FT. PROFESI KOMP. OR &AMP; KEBUGARAN";144C1313;11902
1266;https://sikola.unhas.ac.id/courses/144K1722/index.php;KOMUNIKASI KESEHATAN;144K1722;13201
1267;https://sikola.unhas.ac.id/courses/145C1313/index.php;MANAJ. FT. PROFESI KOMP. TERAPI LATIHAN FUNGSIONAL;145C1313;11202
1268;https://sikola.unhas.ac.id/courses/145K1722/index.php;DASAR PROMOSI KESEHATAN;145K1722;13201
1282;https://sikola.unhas.ac.id/courses/150F9124/index.php;BAHASA JEPANG TERPADU DASAR II;150F9124;79204
1285;https://sikola.unhas.ac.id/courses/151F9122/index.php;MENULIS BAHASA JEPANG II;151F9122;79204
1290;https://sikola.unhas.ac.id/courses/153F9122/index.php;MENYIMAK BAHASA JEPANG II;153F9122;79204
1295;https://sikola.unhas.ac.id/courses/157F3112/index.php;KAPITA SELEKTA KEBUDAYAAN PRANCIS (P);157F3112;79205
1298;https://sikola.unhas.ac.id/courses/167Q1123/index.php;PSIKOLOGI INDUSTRI DAN ORGANISASI;167Q1123;73201
1301;https://sikola.unhas.ac.id/courses/17102R0106/index.php;ILMU DASAR KEPERAWATAN I;17102R0106;14201
1302;https://sikola.unhas.ac.id/courses/17103R0103/index.php;KONSEP DASAR KEPERAWATAN I;17103R0103;14201
1303;https://sikola.unhas.ac.id/courses/17104R0103/index.php;KONSEP DASAR KEPERAWATAN II;17104R0103;14201
1305;https://sikola.unhas.ac.id/courses/17152R0102/index.php;PSIKOSOSIAL DAN BUDAYA DALAM KEPERAWATAN;17152R0102;14201
1306;https://sikola.unhas.ac.id/courses/17153R0105/index.php;ILMU DASAR KEPERAWATAN II;17153R0105;14201
1307;https://sikola.unhas.ac.id/courses/17154R0104/index.php;KEPERAWATAN DASAR I;17154R0104;14201
1308;https://sikola.unhas.ac.id/courses/17155R0104/index.php;KEPERAWATAN DASAR II;17155R0104;14201
1310;https://sikola.unhas.ac.id/courses/17205R0102/index.php;BAHASA INGGRIS KEPERAWATAN II;17205R0102;14201
1311;https://sikola.unhas.ac.id/courses/17206R0102/index.php;SISTEM INFORMASI KEPERAWATAN;17206R0102;14201
1313;https://sikola.unhas.ac.id/courses/17208R0103/index.php;PENDIDIKAN DAN PROMOSI KESEHATAN;17208R0103;14201
1314;https://sikola.unhas.ac.id/courses/17210R0103/index.php;KOMUNIKASI DALAM KEPERAWATAN II;17210R0103;14201
1315;https://sikola.unhas.ac.id/courses/17211R0105/index.php;KEPERAWATAN MEDIKAL BEDAH I;17211R0105;14201
1317;https://sikola.unhas.ac.id/courses/17257R0104/index.php;KEPERAWATAN MATERNITAS I;17257R0104;14201
1320;https://sikola.unhas.ac.id/courses/17260R0102/index.php;KEPERAWATAN KOMUNITAS I;17260R0102;14201
1321;https://sikola.unhas.ac.id/courses/17261R0102/index.php;BAHASA INGGRIS LANJUTAN;17261R0102;14201
1322;https://sikola.unhas.ac.id/courses/17262R0102/index.php;BAHASA ARAB (KEPERAWATAN);17262R0102;14201
1325;https://sikola.unhas.ac.id/courses/17312R0106/index.php;KEPERAWATAN MEDIKAL BEDAH III;17312R0106;14201
1326;https://sikola.unhas.ac.id/courses/17313R0102/index.php;KEPERAWATAN MATERNITAS II;17313R0102;14201
1328;https://sikola.unhas.ac.id/courses/17315R0104/index.php;KEPERAWATAN JIWA II;17315R0104;14201
1329;https://sikola.unhas.ac.id/courses/17316R0103/index.php;KEPERAWATAN KOMUNITAS II;17316R0103;14201
1330;https://sikola.unhas.ac.id/courses/17317R0104/index.php;KEPERAWATAN KELUARGA (AKADEMIK);17317R0104;14201
1333;https://sikola.unhas.ac.id/courses/17366R0104/index.php;KEPERAWATAN GAWAT DARURAT;17366R0104;14201
1334;https://sikola.unhas.ac.id/courses/17367R0103/index.php;KEPERAWATAN KRITIS;17367R0103;14201
1336;https://sikola.unhas.ac.id/courses/17369R0102/index.php;BIOSTATISTIK;17369R0102;14201
1337;https://sikola.unhas.ac.id/courses/17418R0103/index.php;KEPERAWATAN PALIATIF DAN MENJELANG AJAL;17418R0103;14201
1338;https://sikola.unhas.ac.id/courses/17419R0104/index.php;MANAJEMEN KEPERAWATAN 1;17419R0104;14201
1339;https://sikola.unhas.ac.id/courses/17420R0102/index.php;KEPERAWATAN BENCANA;17420R0102;14201
1341;https://sikola.unhas.ac.id/courses/17422R0102/index.php;PRAKTIK KEPERAWATAN KOMPREHENSIF (PKK) II;17422R0102;14201
1348;https://sikola.unhas.ac.id/courses/17503R0203/index.php;PROFESI KEPERAWATAN MEDIKAL BEDAH 2 (KMB 2);17503R0203;14901
1356;https://sikola.unhas.ac.id/courses/17552R0203/index.php;PROFESI KEPERAWATAN KRITIS;17552R0203;14901
1357;https://sikola.unhas.ac.id/courses/17552R023/index.php;KEPERAWATAN KRITIS;17552R023;14901
1407;https://sikola.unhas.ac.id/courses/17C05510802/index.php;OBSTETRI DAN GINEKOLOGI DASAR;17C05510802;11708
1409;https://sikola.unhas.ac.id/courses/17C05511006/index.php;FETOMATERNAL I;17C05511006;11708
1410;https://sikola.unhas.ac.id/courses/17C05511103/index.php;KELUARGA BERENCANA;17C05511103;11708
1413;https://sikola.unhas.ac.id/courses/17C05520106/index.php;FETOMATERNAL II;17C05520106;11708
1423;https://sikola.unhas.ac.id/courses/17C05530306/index.php;UROGINEKOLOGI DAN REKONSTRUKSI OBGIN;17C05530306;11708
1427;https://sikola.unhas.ac.id/courses/17C05540106/index.php;OBSTETRI DAN GINEKOLOGI SOSIAL 2017;17C05540106;11708
1523;https://sikola.unhas.ac.id/courses/18A01211503/index.php;KNOWLEDGE MANAGEMENT (MAGISTER MANAJEMEN);18A01211503;61101
1620;https://sikola.unhas.ac.id/courses/18A06210403/index.php;AKUNTANSI MANAJEMEN LANJUTAN S2;18A06210403;62101
1658;https://sikola.unhas.ac.id/courses/18B01110504/index.php;HUKUM PIDANA;18B01110504;74201
1662;https://sikola.unhas.ac.id/courses/18B01120903/index.php;HUKUM ISLAM;18B01120903;74201
1664;https://sikola.unhas.ac.id/courses/18B01121103/index.php;HUKUM PERIKATAN;18B01121103;74201
1677;https://sikola.unhas.ac.id/courses/18B011313303/index.php;HUKUM ACARA PERADILAN AGAMA;18B011313303;74201
1679;https://sikola.unhas.ac.id/courses/18B01132203/index.php;HAK KEKAYAAN INTELEKTUAL;18B01132203;74201
1682;https://sikola.unhas.ac.id/courses/18B01132503/index.php;PERANCANGAN KONTRAK;18B01132503;74201
1683;https://sikola.unhas.ac.id/courses/18B01132604/index.php;HUKUM ACARA PERDATA DAN PRAKTIK PERADILAN PERDATA;18B01132604;74201
1689;https://sikola.unhas.ac.id/courses/18B01133203/index.php;PERANCANGAN PERUNDANG-UNDANGAN;18B01133203;74201
1691;https://sikola.unhas.ac.id/courses/18B01133402/index.php;HUKUM PERDATA INTERNASIONAL;18B01133402;74201
1705;https://sikola.unhas.ac.id/courses/18B011410102/index.php;TINDAK PIDANA PERIKANAN;18B011410102;74201
1721;https://sikola.unhas.ac.id/courses/18B011411802/index.php;HUKUM PENGADAAN BARANG DAN JASA;18B011411802;74201
1737;https://sikola.unhas.ac.id/courses/18B01144702/index.php;PSIKOLOGI HUKUM;18B01144702;74201
1740;https://sikola.unhas.ac.id/courses/18B01145102/index.php;HUKUM JAMINAN;18B01145102;74201
1746;https://sikola.unhas.ac.id/courses/18B01145702/index.php;HUKUM PENGUASAAN DAN PENGATURAN PERTANAHAN;18B01145702;74201
1763;https://sikola.unhas.ac.id/courses/18B01147502/index.php;HUKUM PIDANA PERLINDUNGAN ANAK;18B01147502;74201
1769;https://sikola.unhas.ac.id/courses/18B01148102/index.php;HUKUM PENGANGKUTAN & ASURANSI;18B01148102;74201
1777;https://sikola.unhas.ac.id/courses/18B01148902/index.php;SENGKETA KETATANEGARAAN DAN YUDICIAL REVIEW;18B01148902;74201
1785;https://sikola.unhas.ac.id/courses/18B01149702/index.php;PERADILAN KODE ETIK;18B01149702;74201
1899;https://sikola.unhas.ac.id/courses/18C02110503/index.php;PSIKODIAGNOSTIK *(OBSERVASI & WAWANCARA);18C02110503;73201
1900;https://sikola.unhas.ac.id/courses/18C02110603/index.php;PSIKOLOGI UMUM II;18C02110603;73201
1909;https://sikola.unhas.ac.id/courses/18C02120203/index.php;PSIKOLOGI SOSIAL I;18C02120203;73201
1913;https://sikola.unhas.ac.id/courses/18C02120603/index.php;PSIKOLOGI POSITIF;18C02120603;73201
1914;https://sikola.unhas.ac.id/courses/18C02120702/index.php;PSIKOLOGI KOGNITIF 2020;18C02120702;73201
1915;https://sikola.unhas.ac.id/courses/18C02120803/index.php;METODOLOGI PENELITIAN (KUANTITATIF DAN KUALITATIF);18C02120803;73201
1919;https://sikola.unhas.ac.id/courses/18C02121203/index.php;PSIKOLOGI SOSIAL II;18C02121203;73201
1922;https://sikola.unhas.ac.id/courses/18C02121502/index.php;PSIKOLOGI EKONOMI;18C02121502;73201
1926;https://sikola.unhas.ac.id/courses/18C02130303/index.php;PSIKOLOGI INDUSTRI DAN ORGANISASI 2020;18C02130303;73201
1932;https://sikola.unhas.ac.id/courses/18C02130903/index.php;CAPITA SELECTA;18C02130903;73201
1939;https://sikola.unhas.ac.id/courses/18C02131602/index.php;PSIKOLOGI KESEHATAN;18C02131602;73201
1951;https://sikola.unhas.ac.id/courses/18C02140502/index.php;PSIKOLOGI KEPELBAGAIAN;18C02140502;73201
1955;https://sikola.unhas.ac.id/courses/18D01210103/index.php;ANALISA REKAYASA SIPIL;18D01210103;22101
2035;https://sikola.unhas.ac.id/courses/18D01321303/index.php;ANALISIS SISTEM TRANSPORTASI;18D01321303;22001
2073;https://sikola.unhas.ac.id/courses/18D02211702/index.php;KEBIJAKAN ENERGI NASIONAL;18D02211702;21101
2170;https://sikola.unhas.ac.id/courses/18D03216802/index.php;REKAYASA WEB LANJUT;18D03216802;20101
2205;https://sikola.unhas.ac.id/courses/18D04211703/index.php;PERANCANGAN DAN SIMULASI AKUSTIK;18D04211703;23101
2274;https://sikola.unhas.ac.id/courses/18D05311503/index.php;TOPIK KHUSUS REKAYASA INTERNET LANJUT;18D05311503;20001
2328;https://sikola.unhas.ac.id/courses/18E05110782/index.php;PENDIDIKAN KEWARGANEGARAAN;18E05110782;MKU
2329;https://sikola.unhas.ac.id/courses/18E05110792/index.php;PANCASILA;18E05110792;MKU
2332;https://sikola.unhas.ac.id/courses/18E07110732/index.php;WAWASAN SOSIAL BUDAYA MARITIM;18E07110732;MKU
2336;https://sikola.unhas.ac.id/courses/18F03110612/index.php;PENDIDIKAN AGAMA ISLAM;18F03110612;79203
2365;https://sikola.unhas.ac.id/courses/18F09121202/index.php;MENULIS BAHASA MANDARIN MENENGAH 2;18F09121202;79214
2381;https://sikola.unhas.ac.id/courses/18F09131203/index.php;BAHASA MANDARIN KOMPREHENSIF LANJUTAN 2;18F09131203;79214
2399;https://sikola.unhas.ac.id/courses/18H01110103/index.php;LOGIKA MATEMATIKA;18H01110103;44201
2400;https://sikola.unhas.ac.id/courses/18H01110203/index.php;TEORI HIMPUNAN;18H01110203;44201
2408;https://sikola.unhas.ac.id/courses/18H01120503/index.php;TEORI GRAF;18H01120503;44201
2409;https://sikola.unhas.ac.id/courses/18H01120604/index.php;MATEMATIKA LANJUT;18H01120604;44201
2412;https://sikola.unhas.ac.id/courses/18H01120804/index.php;MATEMATIKA LANJUT;18H01120804;94203
2415;https://sikola.unhas.ac.id/courses/18H01121103/index.php;PERSAMAAN DIFERENSIAL PARSIAL;18H01121103;44201
2428;https://sikola.unhas.ac.id/courses/18H01130603/index.php;ANALISIS RIIL;18H01130603;44201
2430;https://sikola.unhas.ac.id/courses/18H01130803/index.php;PENGANTAR ANALISIS FUNGSIONAL;18H01130803;44201
2440;https://sikola.unhas.ac.id/courses/18H01131803/index.php;PROSES STOKASTIK;18H01131803;49201
2456;https://sikola.unhas.ac.id/courses/18H01210303/index.php;TEKNIK PENELITIAN KIMIA;18H01210303;47101
2470;https://sikola.unhas.ac.id/courses/18H01211502/index.php;BIOKIMIA ENZIM;18H01211502;47101
2504;https://sikola.unhas.ac.id/courses/18H01312603/index.php;KINETIKA DAN KATALITIS;18H01312603;47001
2530;https://sikola.unhas.ac.id/courses/18H02110202/index.php;ILMU LINGKUNGAN;18H02110202;45201
2539;https://sikola.unhas.ac.id/courses/18H02120303/index.php;FISIKA GELOMBANG;18H02120303;45201
2557;https://sikola.unhas.ac.id/courses/18H02130402/index.php;TEORI MEDAN ELEKTROMAGNET II;18H02130402;45201
2558;https://sikola.unhas.ac.id/courses/18H02130502/index.php;FISIKA NUKLIR;18H02130502;45201
2572;https://sikola.unhas.ac.id/courses/18H02131903/index.php;FISIKA RADIOTERAPI (P);18H02131903;45201
2586;https://sikola.unhas.ac.id/courses/18H02133502/index.php;BIOFISIKA;18H02133502;45201
2592;https://sikola.unhas.ac.id/courses/18H02134102/index.php;RADIOBIOLOGI (P);18H02134102;45201
2593;https://sikola.unhas.ac.id/courses/18H02134202/index.php;ANATOMI DAN FISIOLOGI (P);18H02134202;45201
2598;https://sikola.unhas.ac.id/courses/18H02134702/index.php;FISIKA RADIOLOGI DAN DOSIMETRI;18H02134702;45201
2604;https://sikola.unhas.ac.id/courses/18H02138703/index.php;FISIKA KESEHATAN DAN PROTEKSI RADIASI;18H02138703;45201
2607;https://sikola.unhas.ac.id/courses/18H02140301/index.php;SEMINAR PROPOSAL PENELITIAN;18H02140301;45201
2608;https://sikola.unhas.ac.id/courses/18H02140402/index.php;SEMINAR HASIL PENELITIAN;18H02140402;45201
2609;https://sikola.unhas.ac.id/courses/18H02140504/index.php;SKRIPSI FISIKA;18H02140504;45201
2610;https://sikola.unhas.ac.id/courses/18H03110103/index.php;KIMIA ANORGANIK DASAR;18H03110103;47201
2611;https://sikola.unhas.ac.id/courses/18H03110203/index.php;ASPEK DASAR RISET KIMIA;18H03110203;47201
2613;https://sikola.unhas.ac.id/courses/18H03110402/index.php;MANAJEMEN LABORATORIUM (P);18H03110402;47201
2617;https://sikola.unhas.ac.id/courses/18H03120102/index.php;PRAKTIKUM KIMIA ANORGANIK;18H03120102;47201
2618;https://sikola.unhas.ac.id/courses/18H03120202/index.php;KIMIA UNSUR;18H03120202;47201
2619;https://sikola.unhas.ac.id/courses/18H03120303/index.php;ENERGETIKA KIMIA;18H03120303;47201
